JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
1,1,444,19,6,0,28,240,88.31,1,11.1,11.0,1.0,11.0,11.0,11.0,11.0,9.4,75.7
0,1,619,93,6,25,4,6,83.14,0,10.8,10.4,1.0,10.4,10.4,10.4,10.4,11.3,75.0
0,1,455,93,6,10,5,182,81.71,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,0,717,61,6,21,10,138,84.99,1,10.4,10.6,1.0,10.6,10.6,10.6,10.6,10.6,75.2
0,0,645,15,6,4,10,153,90.21,1,10.4,11.3,1.0,11.3,11.3,11.3,11.3,10.0,77.8
1,1,455,93,6,4,5,182,82.04,0,10.4,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.0
1,0,439,93,6,0,2,184,82.35,1,10.6,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.3
0,0,807,93,6,10,5,40,79.5,0,10.8,9.9,1.0,9.9,9.9,9.9,9.9,11.3,72.8
0,0,574,61,6,1,9,20,82.14,0,10.2,10.3,1.0,10.3,10.3,10.3,10.3,10.6,72.2
0,1,471,19,6,21,15,126,83.07,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,9.4,72.8
0,1,455,93,6,4,21,182,84.36,0,10.6,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.6
0,0,455,93,6,10,1,182,80.28,0,10.3,10.0,1.0,10.0,10.0,10.0,10.0,11.3,71.7
0,0,574,61,6,17,22,20,82.5,1,10.3,10.3,1.0,10.3,10.3,10.3,10.3,10.6,73.5
0,0,345,19,6,10,11,72,79.52,0,10.1,9.9,1.0,9.9,9.9,9.9,9.9,9.4,70.2
0,0,69,3,6,9,1,59,87.63,0,10.9,11.0,1.0,11.0,11.0,11.0,11.0,7.5,73.2
0,0,503,15,6,9,28,21,84.6,0,10.7,10.6,1.1,10.6,10.6,10.6,10.6,10.0,74.7
0,0,429,93,6,5,28,259,81.92,1,10.4,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.9
0,1,266,18,6,27,11,112,85.13,0,10.7,10.6,1.0,10.6,10.6,10.6,10.6,7.5,72.4
0,1,623,93,6,10,21,22,83.39,0,10.7,10.4,1.0,10.4,10.4,10.4,10.4,11.3,75.1
0,0,645,15,6,4,10,153,86.38,0,10.7,10.8,1.0,10.8,10.8,10.8,10.8,10.0,75.7
0,0,162,15,6,21,28,237,83.55,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,10.0,73.8
1,0,631,93,6,15,13,50,81.68,1,10.6,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.9
0,0,455,93,6,4,10,182,81.88,0,10.5,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.9
0,1,55,61,6,11,20,254,78.9,0,10.1,9.9,1.0,9.9,9.9,9.9,9.9,10.6,71.1
1,0,574,61,6,10,4,40,81.04,0,10.1,10.1,1.0,10.1,10.1,10.1,10.1,10.6,72.4
0,1,34,61,6,14,21,204,82.8,0,10.5,10.3,1.0,10.3,10.3,10.3,10.3,10.6,73.9
0,0,28,93,6,9,28,20,83.34,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,74.9
0,0,187,15,6,25,4,170,83.5,0,10.6,10.4,1.0,10.4,10.4,10.4,10.4,10.0,73.8
0,0,104,15,6,4,10,7,84.02,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,10.0,74.1
1,1,204,61,6,5,4,76,86.39,0,10.8,10.8,1.0,10.8,10.8,10.8,10.8,10.6,76.4
0,0,187,15,6,21,14,170,87.89,1,11.2,11.0,1.0,11.0,11.0,11.0,11.0,10.0,77.1
0,0,181,30,6,1,10,162,81.63,0,10.2,10.2,1.0,10.2,10.2,10.2,10.2,7.5,68.7
0,1,162,15,6,10,6,237,84.28,0,10.7,10.5,1.0,10.5,10.5,10.5,10.5,10.0,74.3
0,0,439,93,6,0,2,184,83.09,1,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,74.8
0,0,217,30,6,10,4,101,81.62,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,7.5,69.9
0,0,170,50,6,4,28,110,81.5,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,7.5,69.7
0,1,336,19,6,21,11,215,81.7,0,10.5,10.2,1.0,10.2,10.2,10.2,10.2,9.4,71.9
0,0,433,19,6,25,27,130,84.79,0,10.8,10.6,1.0,10.6,10.6,10.6,10.6,9.4,74.2
0,0,554,91,2,8,17,7,80.98,0,9.9,10.1,1.0,10.1,10.1,10.1,10.1,7.5,69.0
0,0,503,15,6,10,6,21,84.74,0,10.7,10.6,1.0,10.6,10.6,10.6,10.6,10.0,74.7
0,0,170,50,6,10,5,110,80.64,0,10.1,10.1,1.0,10.1,10.1,10.1,10.1,6.3,67.8
0,0,624,11,6,21,4,19,81.39,0,10.1,10.2,1.2,10.2,10.2,10.2,10.2,7.5,69.7
0,0,245,61,6,0,5,256,85.53,1,10.8,10.7,1.0,10.7,10.7,10.7,10.7,10.6,74.9
0,1,715,61,6,13,11,76,85.47,0,10.3,10.7,1.1,10.7,10.7,10.7,10.7,10.6,75.4
1,1,204,61,6,6,17,76,84.61,0,10.6,10.6,1.0,10.6,10.6,10.6,10.6,10.6,75.1
